year,school,over_500,srs,pace,o_rtg,3pa_rate,ts_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,orb_percent
2021-22,Northwestern,FALSE,8.91,68.8,104.4,0.387,0.523,49.3,59.5,9.3,10.7,12.3,25.4
2021-22,Notre Dame NCAA,TRUE,11.87,65.9,108.6,0.423,0.571,50.2,53.8,7.8,4.8,14.1,22.4
2021-22,Oakland,TRUE,-1.52,69,107.3,0.415,0.548,49.4,51.9,13,6.9,15.3,31.4
2021-22,Ohio State NCAA,TRUE,14.17,65.1,110.9,0.395,0.578,52,48.8,6.9,12.8,15.1,29.3
2021-22,Ohio,TRUE,1.5,69,107.3,0.452,0.541,49.4,49.1,10.9,7.4,13.3,27.4
2021-22,Oklahoma State,TRUE,13.28,68.8,96.9,0.314,0.51,50.8,50.4,12.1,15.7,18.4,32.3
2021-22,Oklahoma,TRUE,14.12,66.1,103,0.413,0.575,51,55.5,11,5.2,19.7,25.8
2021-22,Old Dominion,FALSE,-1.32,65.7,100.8,0.265,0.506,52.5,50.3,9.7,10.6,15.3,32.2
2021-22,Oral Roberts,TRUE,-0.84,72.2,114.4,0.462,0.567,52.8,38.8,7.6,10.2,11.9,28.4
2021-22,Oregon State,FALSE,-1.44,67.8,99.1,0.308,0.521,45.7,47.3,8.7,8.5,16.1,26.2
2021-22,Oregon,TRUE,10.05,68.4,105.1,0.36,0.536,49.7,45.5,9.9,9.4,14.8,30
2021-22,Pacific,FALSE,-8.02,69.5,94.3,0.335,0.502,48.8,48.3,9.2,7.9,15.8,22.7
2021-22,Penn State,FALSE,8.72,62.8,101.6,0.426,0.53,53,49.7,8.3,6.2,16.2,28.6
2021-22,Pennsylvania,FALSE,-3.93,69,103.4,0.403,0.539,48.8,47.3,7.9,6,15,25.2
2021-22,Pepperdine,FALSE,-7.04,71.7,94.4,0.352,0.506,47.6,58.4,7.8,6.1,17.9,26.6
2021-22,Pittsburgh,FALSE,0.45,64.2,95.8,0.336,0.509,52.1,52.1,8.4,12.4,18.4,30.5
2021-22,Portland State,FALSE,-7.7,72.2,101,0.336,0.52,47.1,42.9,12.8,9.4,14.9,27.3
